Price,Close,High,Low,Open,Volume
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F
Date,,,,,
2025-09-05,61.869998931884766,63.4900016784668,61.45000076293945,63.33000183105469,294540
2025-09-08,62.2599983215332,63.34000015258789,61.849998474121094,62.0,237288
2025-09-09,62.630001068115234,63.66999816894531,62.369998931884766,62.43000030517578,268529
2025-09-10,63.66999816894531,64.08000183105469,62.720001220703125,62.7400016784668,260684
2025-09-11,62.369998931884766,63.79999923706055,62.209999084472656,63.79999923706055,222661
2025-09-12,62.689998626708984,63.97999954223633,61.689998626708984,62.27000045776367,313265
2025-09-15,63.29999923706055,63.66999816894531,62.52000045776367,62.970001220703125,205560
2025-09-16,64.5199966430664,64.76000213623047,62.88999938964844,63.310001373291016,234250
2025-09-17,64.05000305175781,64.66999816894531,63.689998626708984,64.58999633789062,165427
2025-09-18,63.56999969482422,64.55000305175781,63.33000183105469,63.9900016784668,82321
2025-09-19,62.68000030517578,63.650001525878906,62.599998474121094,63.59000015258789,87165
2025-09-22,62.63999938964844,63.18000030517578,61.97999954223633,62.7400016784668,223779
2025-09-23,63.40999984741211,63.88999938964844,61.849998474121094,62.33000183105469,265948
2025-09-24,64.98999786376953,65.05000305175781,63.25,63.63999938964844,282721
2025-09-25,64.9800033569336,65.33999633789062,64.05999755859375,64.80000305175781,258353
2025-09-26,65.72000122070312,66.41999816894531,64.66000366210938,65.19999694824219,284990
2025-09-29,63.45000076293945,65.4000015258789,62.97999954223633,65.06999969482422,294292
2025-09-30,62.369998931884766,63.2599983215332,62.029998779296875,63.13999938964844,271649
2025-10-01,61.779998779296875,62.88999938964844,61.400001525878906,62.459999084472656,274339
2025-10-02,60.47999954223633,62.540000915527344,60.400001525878906,61.779998779296875,290507
2025-10-03,60.880001068115234,61.380001068115234,60.54999923706055,60.70000076293945,240044
2025-10-06,61.689998626708984,62.119998931884766,61.040000915527344,61.13999938964844,224682
2025-10-07,61.72999954223633,62.11000061035156,60.720001220703125,61.72999954223633,245121
2025-10-08,62.54999923706055,62.91999816894531,62.04999923706055,62.04999923706055,273318
2025-10-09,61.5099983215332,62.869998931884766,61.25,62.310001373291016,259171
2025-10-10,58.900001525878906,61.66999816894531,58.220001220703125,61.4900016784668,339103
2025-10-13,59.4900016784668,60.16999816894531,59.0,59.0,339103
2025-10-14,58.70000076293945,59.81999969482422,57.68000030517578,59.58000183105469,259200
2025-10-15,58.27000045776367,59.41999816894531,58.20000076293945,58.599998474121094,224919
2025-10-16,57.459999084472656,59.11000061035156,57.2599983215332,58.77000045776367,203866
2025-10-17,57.540000915527344,57.720001220703125,56.599998474121094,57.5,108748
2025-10-20,57.52000045776367,57.810001373291016,56.349998474121094,57.72999954223633,108146
2025-10-21,57.81999969482422,58.279998779296875,56.9900016784668,57.369998931884766,314207
2025-10-22,58.5,59.83000183105469,57.34000015258789,57.59000015258789,378637
2025-10-23,61.790000915527344,62.20000076293945,59.63999938964844,59.939998626708984,735186
2025-10-24,61.5,62.59000015258789,61.209999084472656,61.790000915527344,373744
2025-10-27,61.310001373291016,62.16999816894531,60.66999816894531,61.81999969482422,272191
2025-10-28,60.150001525878906,61.5,59.7599983215332,61.5,307568
2025-10-29,60.47999954223633,61.02000045776367,59.70000076293945,60.18000030517578,276875
2025-10-30,60.56999969482422,60.790000915527344,59.63999938964844,60.38999938964844,247917
2025-10-31,60.97999954223633,61.380001068115234,59.9900016784668,60.29999923706055,278598
2025-11-03,61.04999923706055,61.5,60.5099983215332,61.400001525878906,0
2025-11-04,60.560001373291016,61.029998779296875,59.939998626708984,61.029998779296875,219300
2025-11-05,59.599998474121094,61.09000015258789,59.52000045776367,60.43000030517578,292518
2025-11-06,59.43000030517578,60.5099983215332,58.83000183105469,59.68000030517578,277768
2025-11-07,59.75,60.459999084472656,59.31999969482422,59.650001525878906,259446
2025-11-10,60.130001068115234,60.47999954223633,59.40999984741211,59.869998931884766,222879
2025-11-11,61.040000915527344,61.279998779296875,59.65999984741211,60.06999969482422,264427
2025-11-12,58.4900016784668,61.060001373291016,58.29999923706055,61.04999923706055,329517
2025-11-13,58.689998626708984,59.209999084472656,58.119998931884766,58.470001220703125,247349
2025-11-14,60.09000015258789,60.650001525878906,58.709999084472656,58.709999084472656,334116
2025-11-17,59.90999984741211,60.439998626708984,59.31999969482422,59.79999923706055,189638
2025-11-18,60.7400016784668,60.93000030517578,59.310001373291016,59.7400016784668,105325
2025-11-19,59.439998626708984,60.790000915527344,58.77000045776367,60.619998931884766,79622
2025-11-20,59.13999938964844,60.33000183105469,58.86000061035156,59.630001068115234,324282
