Price,Close,High,Low,Open,Volume
Ticker,AUDUSD=X,AUDUSD=X,AUDUSD=X,AUDUSD=X,AUDUSD=X
Date,,,,,
2025-09-05,0.6521999835968018,0.6588999629020691,0.6520698666572571,0.6522302031517029,0
2025-09-08,0.655450165271759,0.6598700284957886,0.654910147190094,0.6553698182106018,0
2025-09-09,0.6598090529441833,0.6621999144554138,0.6585901975631714,0.6597998738288879,0
2025-09-10,0.6584700345993042,0.663702130317688,0.6580800414085388,0.6585879921913147,0
2025-09-11,0.6619316339492798,0.665860116481781,0.659991979598999,0.6618400812149048,0
2025-09-12,0.6668000221252441,0.6668698787689209,0.6631599068641663,0.6665600538253784,0
2025-09-15,0.6648998260498047,0.6671701669692993,0.6645299792289734,0.665029764175415,0
2025-09-16,0.6673001646995544,0.6677698493003845,0.6660498976707458,0.6672801375389099,0
2025-09-17,0.6688998937606812,0.6692096590995789,0.6664600372314453,0.6688900589942932,0
2025-09-18,0.6652501225471497,0.6659784913063049,0.6608598828315735,0.6651598811149597,0
2025-09-19,0.6617901921272278,0.6620998978614807,0.6586899161338806,0.6617801189422607,0
2025-09-22,0.6589308381080627,0.6599997878074646,0.6575698256492615,0.6588600277900696,0
2025-09-23,0.660199761390686,0.6614898443222046,0.6581601500511169,0.6601701378822327,0
2025-09-24,0.6597799062728882,0.6627001762390137,0.6584700345993042,0.6599701642990112,0
2025-09-25,0.6586921215057373,0.6604147553443909,0.6543701887130737,0.6587198972702026,0
2025-09-26,0.6537314653396606,0.6548501253128052,0.6521497964859009,0.6536998748779297,0
2025-09-29,0.6553998589515686,0.6581112146377563,0.6548599600791931,0.6550998091697693,0
2025-09-30,0.6581978797912598,0.6629000902175903,0.6571899652481079,0.6578198671340942,0
2025-10-01,0.6610700488090515,0.6629980802536011,0.6589699387550354,0.6610700488090515,0
2025-10-02,0.6615498065948486,0.6627001762390137,0.6578099131584167,0.6615594029426575,0
2025-10-03,0.6598090529441833,0.6614894270896912,0.6589399576187134,0.6598900556564331,0
2025-10-06,0.6593101024627686,0.6621201038360596,0.6591202020645142,0.6593700647354126,0
2025-10-07,0.6616500020027161,0.6624499559402466,0.6582497954368591,0.6616701483726501,0
2025-10-08,0.6580505967140198,0.6588301062583923,0.6557398438453674,0.6579899787902832,0
2025-10-09,0.6584500670433044,0.6611133217811584,0.6547116041183472,0.6584301590919495,0
