,Date,Type,Price,Shares,Capital,PnL,Return%
0,2026-04-08,BUY,4749.5,2.0002105484787873,10000.0,,
1,2026-05-22,SELL,4521.0,2.0002105484787873,9542.951889672597,-457.0481103274029,-4.811032740288452
