,Date,Type,Price,Shares,Capital,PnL,Return%
0,2026-04-06,BUY,6611.830078125,1.4368185340138133,10000.0,,
1,2026-08-20,SELL,7641.16015625,1.4368185340138133,11478.960533867887,1478.9605338678864,15.568005619661962
