,Date,Type,Price,Shares,Capital,PnL,Return%
0,2026-03-24,BUY,1.1607122421264648,8184.6297947161065,10000.0,,
1,2026-08-31,SELL,1.1588962078094482,8184.6297947161065,9985.136431420719,-14.863568579280992,-0.15645861662401042
