Price,Close,High,Low,Open,Volume,EMA_10,EMA_20,EMA_50,RSI,RSI_Signal,MACD,MACD_Signal,MACD_Diff,BB_Middle,BB_Upper,BB_Lower,ATR,ADX,Trend_Strength,Signal
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
2025-10-13,4108.60009765625,4111.0,4016.0,4016.0,1697,3950.0165656872905,3866.6322197803775,3754.484188068287,74.31069911934226,-1,97.38798680294121,75.43256782249466,21.955418980446552,3835.0200073242186,4098.837746716455,3571.2022679319825,66.23573521205357,40.95195200641303,True,0
2025-10-14,4138.7001953125,4160.10009765625,4085.800048828125,4131.7001953125,2424,3984.3226801646015,3892.5434555453417,3769.5514824700213,80.98140632696827,-1,106.82743147391966,81.71154055277967,25.115890921139993,3857.5100219726564,4144.547010054973,3570.47303389034,68.07859584263393,41.72265867572113,True,0
2025-10-15,4176.89990234375,4210.60009765625,4145.0,4145.0,3287,4019.33672056081,3919.625021907095,3785.5259303082066,81.9025476863643,-1,116.0528712331743,88.5798066888586,27.473064544315704,3882.2650146484375,4190.1383010499585,3574.3917282469165,70.97858537946429,42.89451228687888,True,0
2025-10-16,4280.2001953125,4307.0,4196.60009765625,4198.7998046875,4705,4066.7664432429356,3953.9655146123714,3804.924921092689,83.45924341346341,-1,130.19871924453446,96.90358919999377,33.295130044540684,3914.0900268554688,4248.570237185799,3579.6098165251383,77.52858189174107,44.07793814118444,True,0
2025-10-17,4189.89990234375,4358.0,4182.2001953125,4354.7001953125,4060,4089.154344897629,3976.4354563010743,3820.021979180966,73.08556583940376,-1,132.59446033576205,104.04176342714743,28.55269690861462,3940.0100219726564,4275.679046330087,3604.340997615226,84.88570731026786,44.69527679284618,True,0
2025-10-20,4336.39990234375,4356.60009765625,4214.60009765625,4244.10009765625,1750,4134.108082615106,4010.7177844956145,3840.272093814801,76.76601674173982,-1,144.64702716979173,112.1628161756763,32.48421099411543,3969.79501953125,4335.382522897592,3604.2075161649086,91.64285714285714,44.426157625141094,True,0
2025-10-21,4087.699951171875,4332.7001953125,4087.699951171875,4332.7001953125,2943,4125.670240534518,4018.049419417163,3849.97514704449,59.59225684483592,0,132.60220989875688,116.25069492029243,16.35151497846445,3985.150012207031,4342.9941111263915,3627.305913287671,105.75714983258929,42.593460782382714,True,0
2025-10-22,4044.39990234375,4148.5,4006.0,4109.7001953125,1237,4110.893815408924,4020.558989219695,3857.5996472523043,58.79824020714902,0,118.20011600611542,116.64057913745704,1.559536868658384,4000.765002441406,4338.824052935891,3662.7059519469217,111.29999651227679,41.32387969652417,True,0
2025-10-23,4125.5,4136.7998046875,4070.699951171875,4078.39990234375,354,4113.549485334574,4030.553371198772,3868.105543438489,60.167865118705286,0,112.0389378006289,115.72025087009142,-3.6813130694625187,4020.1950073242188,4338.490518634841,3701.8994960135974,114.53569684709821,40.319421097677704,True,0
2025-10-24,4118.39990234375,4120.60009765625,4074.89990234375,4117.5,123,4114.431379336242,4038.9197074982935,3877.9210084935976,57.43413847489009,0,105.36861731035378,113.6499241581439,-8.28130684779012,4037.35,4336.477481961576,3738.2225180384235,112.49285016741071,38.24506734426763,True,0
2025-10-27,4001.89990234375,4078.60009765625,3971.300048828125,4060.0,220,4093.971110792152,4035.3940117692896,3882.7829258994857,51.02752792811945,0,89.64835348110273,108.84961002273567,-19.201256541632944,4046.4,4328.417153026525,3764.3828469734754,120.03569684709821,35.129267026108685,True,-1
2025-10-28,3966.199951171875,3966.199951171875,3923.60009765625,3929.699951171875,219,4070.7399908611924,4028.8041012362028,3886.054181792521,46.78776518569814,0,73.46241445038822,101.77217090826619,-28.309756457877967,4052.6699951171877,4320.668190511898,3784.6717997224778,120.44283621651786,31.163553727476152,True,0
2025-10-29,3983.699951171875,3983.699951171875,3983.699951171875,3983.699951171875,1344,4054.914529099498,4024.508467896743,3889.883427650535,51.66874365465646,0,61.33995607076395,93.68572794076574,-32.3457718700018,4058.4799926757814,4314.339009746512,3802.620975605051,114.10712541852679,28.066931890525126,True,-1
2025-10-30,4001.300048828125,4027.199951171875,3913.699951171875,3960.0,935,4045.16644177743,4022.29814227116,3894.252706912401,51.14559478016019,0,52.547269049952774,85.45803616260316,-32.91076711265039,4066.5599975585938,4302.781273737361,3830.3387213798264,117.46426827566964,25.940001278998192,True,-1
2025-10-31,3982.199951171875,4034.5,3976.60009765625,4034.5,559,4033.717988940056,4018.479266928371,3897.7016184519885,43.648238520553065,0,43.53592790665425,77.07361451141338,-33.53768660475913,4071.629992675781,4295.071069628733,3848.188915722829,111.94996861049107,23.875692076482355,False,0
2025-11-03,4000.300048828125,4020.0,3959.0,3976.199951171875,0,4027.641999828795,4016.747912823586,3901.725086309876,42.96032332837684,0,37.4235068477974,69.14359297869018,-31.72008613089278,4074.2199951171874,4292.799571941375,3855.640418293,110.99996512276786,21.774490586933286,False,0
2025-11-04,3947.699951171875,3995.39990234375,3927.39990234375,3994.199951171875,657,4013.107081891173,4010.1719164758038,3903.528022186817,38.51014171351082,0,28.012075073006145,60.917289397553375,-32.90521432454723,4072.7749877929687,4294.432293412224,3851.117682173713,111.0714111328125,19.731834050907075,False,0
2025-11-05,3980.300048828125,3983.5,3929.89990234375,3929.89990234375,559,4007.1421667888003,4007.326976699834,3906.5386898982406,33.81893567228968,0,22.919797853676755,53.31779108877806,-30.397993235101303,4069.6249877929686,4294.808518880935,3844.4414567050026,105.60712541852679,18.11909387011095,False,0
2025-11-06,3979.89990234375,4007.5,3979.89990234375,4004.0,650,4002.189027798791,4004.714874380207,3909.4156001902215,37.452210567591415,0,18.637007174779683,46.38163430597839,-27.744627131198705,4071.30498046875,4293.090230122215,3849.5197308152847,95.02143205915179,17.33127950033357,False,0
2025-11-07,3999.39990234375,3999.39990234375,3980.800048828125,3980.800048828125,245,4001.6819140796924,4004.2086865672113,3912.944396353105,26.260944697290725,1,16.624712401571742,40.43024992509706,-23.805537523525317,4072.47998046875,4292.377999610357,3852.5819613271433,84.50713239397321,17.310540604562917,False,0
2025-11-10,4111.7998046875,4111.7998046875,4060.0,4060.0,189,4021.7033487356575,4014.4554597215247,3920.742647660336,52.101117937012226,0,23.825046741704682,37.10920928841859,-13.284162546713908,4072.6399658203127,4292.653258821159,3852.6266728194664,74.77141462053571,17.24951278240484,False,0
2025-11-11,4106.7998046875,4140.10009765625,4106.7998046875,4140.10009765625,569,4037.1754316359925,4023.250159242094,3928.0390067594403,55.82957984327943,0,28.79596342708828,35.44656011615253,-6.650596689064251,4071.0449462890624,4289.498767561676,3852.591125016449,66.971435546875,16.728879175094836,False,0
2025-11-12,4204.39990234375,4204.39990234375,4102.89990234375,4115.60009765625,396,4067.5798808555846,4040.502515727966,3938.8766889392173,57.15060762928551,0,40.1481599203853,36.38688007699909,3.7612798433862054,4072.4199462890624,4294.00291267739,3850.836979900735,67.62144252232143,15.616151819194666,False,0
2025-11-13,4186.89990234375,4228.7001953125,4163.7001953125,4228.7001953125,167,4089.274430217069,4054.4451239770883,3948.603089464885,56.09321549503032,0,47.18879067814896,38.54726219722907,8.641528480919895,4067.754931640625,4274.340243922083,3861.1696193591674,68.65000697544643,14.793121709779276,False,0
2025-11-14,4087.60009765625,4197.89990234375,4047.0,4197.7001953125,483,4088.970006115102,4057.602740517961,3954.0539525312133,57.86384050984089,0,44.24583844003655,39.68697744579057,4.558860994245983,4062.63994140625,4261.4094496490725,3863.8704331634267,68.92143903459821,14.58178181245155,False,0
2025-11-17,4068.300048828125,4099.5,4019.39990234375,4070.0,1552,4085.2118320629243,4058.621531785596,3958.5341916016805,59.659413748915576,0,39.896275515738125,39.728837059780076,0.16743845595804885,4049.2349487304687,4200.8319919695605,3897.637905491377,69.05003138950893,14.406020654732943,False,0
2025-11-18,4061.300048828125,4063.39990234375,4035.60009765625,4037.39990234375,1375,4080.864235111142,4058.876628646789,3962.564225218404,57.49034985601372,0,35.475435327005926,38.87815671322525,-3.4027213862193264,4047.9149536132813,4198.558530309945,3897.2713769166176,70.1357421875,14.410119497318274,False,0
2025-11-19,4077.699951171875,4122.7001953125,4072.0,4086.10009765625,486,4080.288910758548,4060.669326030131,3967.0793517263833,57.39162722846694,0,32.915789949272494,37.6856833604347,-4.769893411162208,4049.5799560546875,4200.794972039329,3898.364940070046,66.41432407924107,15.142417031147398,False,0
2025-11-20,4056.5,4090.39990234375,4040.199951171875,4045.0,202,4075.9636542569933,4060.2722473605945,3970.5860438155446,57.15937828612295,0,28.844096868115685,35.9173660619709,-7.073269193855218,4046.1299560546877,4193.14187391523,3899.118038194146,65.86432756696429,15.071480350553902,False,0
2025-11-21,4076.699951171875,4085.199951171875,4031.800048828125,4031.800048828125,171,4076.0975264233352,4061.8367905807168,3974.747373515793,57.33204437080135,0,26.93670840094137,34.121234529765,-7.184526128823627,4044.044958496094,4187.889925578069,3900.199991414119,65.32146344866071,14.732000351561018,False,0
2025-11-24,4091.89990234375,4091.89990234375,4060.5,4060.5,591,4078.9706856815924,4064.6999440819577,3979.3415903325754,64.90901518306765,0,26.34787640873583,32.56656290555917,-6.218686496823338,4048.544958496094,4192.469587183215,3904.6203298089727,62.35716029575893,14.35072788531834,False,0
2025-11-25,4139.2001953125,4139.2001953125,4139.2001953125,4139.2001953125,132704,4089.9215056144844,4071.795206103914,3985.610555233749,65.94422345111823,0,29.359522846438267,31.925154893734987,-2.5656320472967202,4057.194970703125,4201.076600806209,3913.31334060004,61.907174246651785,13.922302209459929,False,0
2025-11-26,4165.2001953125,4171.0,4127.5,4128.60009765625,25088,4103.608540105032,4080.6909193618744,3992.65328621723,67.6847039042935,0,33.45856751590327,32.231837418168645,1.2267300977346238,4066.269982910156,4213.4902834634,3919.049682356912,63.042881556919646,13.09060616999326,False,0
2025-11-28,4218.2998046875,4223.89990234375,4140.0,4163.39990234375,3615,4124.461497301844,4093.7965274881244,4001.5021692944956,69.6322954318731,0,40.52464180803827,33.89039829614257,6.634243511895697,4077.119970703125,4235.7245169471635,3918.5154244590867,67.64287458147321,12.267718460728588,False,0
2025-12-01,4239.2998046875,4262.10009765625,4214.89990234375,4218.5,913,4145.341189553782,4107.653982459494,4010.8275667608877,63.67733392557083,0,47.27413429551734,36.567145496017524,10.706988799499818,4089.974963378906,4257.605906153465,3922.344020604347,62.985752650669646,12.144917224955785,False,0
2025-12-02,4186.60009765625,4230.5,4167.0,4230.5,366,4152.842809208776,4115.172660097281,4017.720607188157,57.765706416944084,0,47.819496403777976,38.81761567756962,9.001880726208356,4099.289965820312,4266.6440326482725,3931.9358989923526,65.77143205915179,12.147689906434417,False,0
2025-12-03,4199.2998046875,4234.10009765625,4195.7001953125,4215.7001953125,1897,4161.289535659453,4123.184769105873,4024.8413600312683,49.40544294358396,0,48.714904925234805,40.79707352710266,7.917831398132144,4111.869958496094,4268.742272321195,3954.997644670993,61.91428920200893,12.283312454084093,False,0
2025-12-04,4211.7998046875,4211.7998046875,4175.0,4211.0,616,4170.47322093728,4131.624296304123,4032.1730637432775,52.937009370554456,0,49.85843120358277,42.60934506239869,7.24908614118408,4123.4449462890625,4273.454145792677,3973.435746785448,59.899989536830354,12.340957276785572,False,0
2025-12-05,4212.89990234375,4255.7001953125,4194.5,4204.10009765625,533,4178.187163011183,4139.3648302126585,4039.2603907472176,69.23550894110028,0,50.27392617824444,44.14226128556784,6.131664892676596,4135.094946289062,4273.940312162212,3996.249580415912,53.492867606026785,13.869318899157985,False,0
2025-12-08,4187.2001953125,4215.7998046875,4175.5,4205.5,318,4179.825896156876,4143.920579269787,4045.061951710562,67.90131715819646,0,47.97641511398251,44.909092051250774,3.067323062731738,4144.4849609375,4269.3925341255,4019.5773877494994,50.649989536830354,15.52355694385412,False,0
2025-12-09,4206.7001953125,4219.7001953125,4177.7001953125,4190.7001953125,660,4184.71213236699,4149.899590321474,4051.4007063616186,71.09701397897379,-1,47.18518661504186,45.36431096400899,1.820875651032864,4149.22998046875,4276.104261783476,4022.3556991540236,51.314278738839285,17.2773651509029,False,0
2025-12-10,4196.39990234375,4234.5,4183.60009765625,4209.0,692,4186.837181453673,4154.328191466452,4057.08694934131,67.53326558446383,0,45.20587953016002,45.332624677239195,-0.12674514707917695,4153.709985351563,4280.60357385761,4026.8163968455156,50.564261300223215,17.49385688750836,False,0
2025-12-11,4285.5,4286.89990234375,4214.2998046875,4224.0,528,4204.775875734823,4166.820744660124,4066.0443238769453,78.17425321936884,-1,50.24767374073417,46.31563448993819,3.932039250795981,4157.764990234375,4296.142579919146,4019.387400549603,53.442836216517854,18.894142065341374,False,0
2025-12-12,4300.10009765625,4355.0,4260.0,4276.39990234375,1531,4222.107552447809,4179.514016374041,4075.2229816722124,77.8693103080695,-1,54.789854502329035,48.01047849241636,6.779376009912674,4163.425,4315.4114417729625,4011.4385582270374,56.414271763392854,20.855803528221468,False,0
2025-12-15,4306.7001953125,4349.2001953125,4292.89990234375,4308.2998046875,854,4237.488032968662,4191.626985796751,4084.3005194620278,77.3840455663108,-1,58.25066084365244,50.05851496266358,8.19214588098886,4174.3800048828125,4334.710286312035,4014.049723453589,58.19287109375,22.275303097757067,False,0
