Price,Close,High,Low,Open,Volume,EMA_10,EMA_20,EMA_50,RSI,RSI_Signal,MACD,MACD_Signal,MACD_Diff,BB_Middle,BB_Upper,BB_Lower,ATR,ADX,Trend_Strength,Signal
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
2025-10-01,118648.9296875,118648.9296875,113981.3984375,114057.59375,71328680132,113862.51103814125,113532.97198719831,112705.27499554877,55.000720291212666,0,401.0569362975948,192.52005764463735,208.53687865295745,114291.70859375,119621.37908848946,108962.03809901053,2376.539620535714,12.155327128267428,False,0
2025-10-02,120681.2578125,121086.40625,118383.15625,118652.3828125,71415163912,115102.28317893375,114213.76111341752,113018.05863542922,57.649684679990415,0,923.4186079695355,338.699767709617,584.7188402599186,114520.692578125,120528.1901605506,108513.1949956994,2446.558035714286,11.66753148892209,False,0
2025-10-03,122266.53125,123944.703125,119344.3125,120656.984375,83941392228,116404.87373730943,114980.69160261586,113380.74383600062,64.11418187426449,0,1448.6135980775289,560.6825337831995,887.9310642943294,114836.49375,121755.3720700541,107917.61542994589,2608.1618303571427,12.11518858744659,False,0
2025-10-04,122425.4296875,122857.640625,121577.5703125,122267.46875,36769171735,117499.52027370772,115689.71427736673,113735.43739880453,64.30687575198952,0,1856.2583961897617,819.797706264512,1036.4606899252497,115187.382421875,122895.06733059761,107479.69751315238,2648.336495535714,12.460112265451162,False,0
2025-10-05,123513.4765625,125559.2109375,122191.9609375,122419.671875,73689317763,118592.96687166995,116434.83449499847,114118.88991502789,67.02803565020321,0,2241.2800440419087,1104.0941738199915,1137.1858702219172,115590.8125,124152.56780760584,107029.05719239416,2842.5323660714284,13.329441745269492,False,0
2025-10-06,124752.53125,126198.0703125,123196.046875,123510.453125,72568881188,119712.88766772996,117226.9960907129,114535.89545757581,76.34646888746455,-1,2616.235497697664,1406.5224385955262,1209.7130591021378,115986.2796875,125472.37053158323,106500.18884341678,2814.558035714286,16.0176675888339,False,0
2025-10-07,121451.3828125,125184.0234375,120681.96875,124752.140625,76149412513,120028.97769405178,117629.318635645,114807.09104012186,68.61448332338338,0,2616.8498894769727,1648.5879287718153,968.2619607051574,116235.4234375,126031.51797267074,106439.32890232925,3006.39453125,17.961842204952603,False,0
2025-10-08,123354.8671875,124167.09375,121119.1796875,121448.3515625,65354305286,120633.68487467871,118174.6089739169,115142.29794786219,69.32762250716112,0,2739.35450680292,1866.7412443780363,872.6132624248835,116546.306640625,126844.6639859744,106247.9492952756,3027.2003348214284,19.66567733629662,False,0
